"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-01","0.00","61","75",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-07","0.00","54","68",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-08","0.00","55","71",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-10","0.00","60","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-13","0.00","66","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-15","0.00","67","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-20","0.00","60","76",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-24","0.00","65","74",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-25","0.00","64","77",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-28","0.00","67","77",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-01-30","0.00","62","76",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-04","0.00","68","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-05",,"64","66",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-08","0.00","64","77",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-09","0.00","62","71",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-10","0.00","64","76",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-13","0.00","68","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-14","0.00","68","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-15","0.00","66","77",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-16","0.00","61","75",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-18","0.00","64","79",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-20","0.00","65","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-21","0.00","64","73",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-22","0.00","66","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-23","0.00","67","83",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-24","0.00","67","76",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-27","0.00","66","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-02-29","0.00","66","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-01","0.00","69","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-02","0.00","71","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-04","0.00","75","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-05","0.00","78","88",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-06","0.00","77","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-08","0.00","74","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-09","0.00","73","86",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-10","0.00","70","86",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-11","0.00","75","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-17","0.00","74","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-19","0.00","79",,"71"
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-21","0.00","80","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-03-30","0.00","87","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-04-03","0.00","85","100",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-04-04","0.00","87","100",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-04-06","0.00","87","98",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-04-07","0.00","85","96",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-04-13","0.00","84","96",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-04-15","1.60","75","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-04-16","0.00","79","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-04-29","0.00","85","96",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-04-30","0.00","84","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-02","1.06","74","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-04","0.00","80","88",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-05","0.00","83","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-06","0.00","84","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-07","0.00","82","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-08","0.02","81","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-09","0.00","81","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-10","0.01","82","96",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-12","0.00","89","100",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-13","0.00","90","101",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-14","1.35","83","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-15","0.00","86","99",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-16","0.06","80","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-17","0.67","82","95",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-18","0.00","86","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-19","0.00","82","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-21",,"81",,
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-22","0.16","81","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-23","2.61","79","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-25","0.06","87","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-26","0.00","84","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-27","0.31","81","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-28","0.01","78","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-29","0.39","79","88",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-30","0.00","81","88",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-05-31","0.00","84","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-06-01","0.00","86","97",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-06-02","0.00","87","97",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-06-03","0.00","86","95",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-06-05","0.00","85","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-06-12","0.01","83","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-06-13","0.00","86","95",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-06-14","0.00","85","95",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-06-16","0.12","85","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-06-17","0.00","87","94",
