DATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN
2000-01-01,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,61.0,75.0,52.5625
2000-01-07,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,54.0,68.0,45.93533333333334
2000-01-08,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,55.0,71.0,45.17146428571428
2000-01-10,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,60.0,78.0,50.65710714285715
2000-01-13,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,66.0,81.0,55.86658333333334
2000-01-15,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,67.0,81.0,55.369035769785796
2000-01-20,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,60.0,76.0,48.57747222222222
2000-01-24,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,65.0,74.0,48.95
2000-01-25,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,64.0,77.0,50.329666666666654
2000-01-28,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,67.0,77.0,57.22
2000-01-30,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,62.0,76.0,51.75682251082253
2000-02-04,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,68.0,78.0,50.80016666666666
2000-02-05,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.22808147966861725,64.0,66.0,59.11
2000-02-08,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,64.0,77.0,50.329666666666654
2000-02-09,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,62.0,71.0,53.33419047619048
2000-02-10,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,64.0,76.0,51.512555555555544
2000-02-13,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,68.0,78.0,50.80016666666666
2000-02-14,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,68.0,78.0,50.80016666666666
2000-02-15,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,66.0,77.0,53.405
2000-02-16,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,61.0,75.0,52.5625
2000-02-18,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,64.0,79.0,54.1478095238095
2000-02-20,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,65.0,81.0,53.94453968253969
2000-02-21,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,64.0,73.0,55.9005
2000-02-22,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,66.0,81.0,55.86658333333334
2000-02-23,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,67.0,83.0,55.27916666666666
2000-02-24,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,67.0,76.0,59.35333333333333
2000-02-27,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,66.0,81.0,55.86658333333334
2000-02-29,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,66.0,81.0,55.86658333333334
2000-03-01,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,69.0,85.0,60.68424206349206
2000-03-02,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,71.0,85.0,59.477269805358034
2000-03-04,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,75.0,89.0,63.71642195304695
2000-03-05,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,78.0,88.0,69.6927023809524
2000-03-06,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,77.0,89.0,66.89796536796536
2000-03-08,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,74.0,85.0,62.44298268398266
2000-03-09,BGM00041907,"ISHURDI, BG",24.153,89.049,13.7,0.0,73.0,86.0,63.644567099567105
